Unnamed: 0,Title,Rating,Votes,Duration,Genre
345,408. Sehnsucht nach Firdaws,8.5, (6),1h 43m,Adventure
346,410. Anytime,8.9, (20),1h 2m,Adventure
347,"411. Poymay sobaku, esli smozhesh",3.5, (36),1h 36m,Adventure
348,412. Luccas e Gi em: Dinossauros,3.5, (27),1h 31m,Adventure
349,413. Goodbye Hamdi,6.2, (8),1h 25m,Adventure
350,416. Heavens: The Boy and His Robot,6.3, (21),1h 38m,Adventure
351,420. V potoke trekh stikhiy,5.3, (41),1h 25m,Adventure
352,421. YA - medved,5.0, (61),1h 37m,Adventure
353,424. Piri Reis: The Incredible Chart,6.8, (21),2h 18m,Adventure
354,425. Príncipe Lu e a Lenda do Dragão,4.2, (27),1h 30m,Adventure
355,427. Tayna Chyornoy Ruki,5.7, (23),1h 24m,Adventure
356,428. Isle: Alpha One,8.4, (7),1h 37m,Adventure
357,429. Frankenstein Theater: The Magic Sword,4.4, (22),1h 22m,Adventure
358,433. The Bigfoot Prophecy,4.8, (23),1h 57m,Adventure
359,435. Boom!,8.3, (10),1h 30m,Adventure
360,437. Moy lyubimyy chempion,2.2, (419),1h 35m,Adventure
361,439. Wonderland,6.8, (12),2h,Adventure
362,440. Mukhadrakon,5.3, (17),1h 49m,Adventure
363,443. Dracu Ra,5.5, (34),1h 46m,Adventure
364,444. Let's Go! Anpanman: Baikinman and Lulun,6.5, (7),1h 4m,Adventure
365,446. Turbozavry. God drakona,9.2, (43),48m,Adventure
366,447. Kyle and the Last Emerald 2,8.4, (7),15m,Adventure
367,455. Dandelion,8.9, (9),1h 35m,Adventure
368,460. LUDA,7.2, (6),1h 26m,Adventure
369,466. Chyortov kamen,6.4, (9),1h 45m,Adventure
370,468. Suvorovets 1944,5.6, (8),1h 30m,Adventure
371,479. Abar Arownne Din Ratri,7.8, (7),1h 51m,Adventure
372,482. The Kingfish 2,7.9, (10),1h 12m,Adventure
373,485. Beyond existence,5.8, (10),1h 35m,Adventure
374,488. Ngesot,4.8, (18),1h 27m,Adventure
375,492. Whites Only: Ade's Extremist Adventure,7.0, (27),1h 5m,Adventure
376,501. I'm Professional,3.7, (8),1h 35m,Adventure
377,503. Mortadella,8.4, (6),1h 30m,Adventure
378,504. Skazochnyy patrul. Shou prodolzhayetsya,7.2, (11),1h 5m,Adventure
379,511. Colour Palette,9.0, (23),1h 27m,Adventure
380,514. Gostya iz kosmosa,8.5, (6),1h 10m,Adventure
381,516. Applepictures the Poseidon Legacy,6.4, (19),1h 24m,Adventure
382,530. Selebryata,3.8, (20),1h 33m,Adventure
383,543. Lajjpal,9.0, (8),4h 12m,Adventure
384,574. PW V: Tears of the Fallen,8.2, (11),1h,Adventure
385,589. Beyaz Zenciler: Yapim Asamasi,8.6, (5),55m,Adventure
386,593. Okhota na russkogo geniya,5.3, (11),1h 11m,Adventure
